tick,regime,equity,traded,return,pnl
0,VOLATILE,100000.00105320432,True,0.0,0.0
1,VOLATILE,100000.1855037158,True,2.5172415312360243,0.18445051147136837
2,VOLATILE,99999.81301538748,True,-2.884495529689147,-0.37248832831392065
3,VOLATILE,99999.71217053728,True,-0.4756362527467388,-0.10084485019615386
4,VOLATILE,100000.5114284717,True,2.850980280933328,0.7992579344136175
5,VOLATILE,100000.76811463616,True,0.8114904741356668,0.2566861644590972
6,VOLATILE,100000.2496779878,True,-1.3459646742794718,-0.5184366483590566
7,VOLATILE,99999.09208659036,True,-2.6494543953587737,-1.1575913974374998
8,VOLATILE,99999.204059555,True,0.2070538241439692,0.11197296464524698
9,VOLATILE,99999.134853356,True,-0.1229517185129509,-0.06920619901211467
10,VOLATILE,99998.9322578808,True,-0.3696228432037856,-0.20259547518799081
11,VOLATILE,99998.72147641925,True,-0.3604900470675147,-0.21078146155923605
12,VOLATILE,99998.7701187686,True,0.0824154260310621,0.048642349356669
13,VOLATILE,100000.8010444856,True,3.173695216403217,2.0309257170010824
14,VOLATILE,100000.20630365593,True,-0.8909533160820047,-0.5947408296779031
15,VOLATILE,100000.1957669696,True,-0.0196796692896441,-0.010536686328123324
16,VOLATILE,99999.99184167168,True,-0.2851501070597635,-0.20392529791570269
17,VOLATILE,99997.81761270824,True,-2.964936803890012,-2.174228963442147
18,VOLATILE,99997.51966127908,True,-0.3938005523841354,-0.2979514291655505
19,VOLATILE,99995.8986997976,True,-2.0839205142328154,-1.6209614814724773
20,VOLATILE,99995.9046127388,True,0.0044691871018187,0.005912941196584143
21,VOLATILE,99994.98992736136,True,-1.1253111882578537,-0.914685377443675
22,VOLATILE,99997.50332976152,True,3.043178438245249,2.5134024001599755
23,VOLATILE,99997.3223224416,True,-0.2155936997627208,-0.18100731991580687
24,VOLATILE,99997.80844938789,True,0.5681480220418962,0.486126946285367
25,VOLATILE,99998.38176679391,True,0.6623502931897463,0.5733174060296733
26,VOLATILE,99998.5522355315,True,0.1952726767887185,0.17046873758954462
27,VOLATILE,99998.57516515272,True,0.0254774646628277,0.02292962122010067
28,VOLATILE,99997.9892464847,True,-0.6584286966267712,-0.585918668017257
29,VOLATILE,99997.88799840744,True,-0.1131690280484463,-0.1012480772624258
